name,url
LinkedIn,https://www.linkedin.com/in/mmartinescu
GitHub,http://github.com/mikeym88
YouTube,https://www.youtube.com/channel/UCLqqvNzDagg34xdfu3cCQiA
Facebook,https://www.facebook.com/zmihnea
